name,brand,sale,processor_type,processor,fab,ram_type,rom_type,display_type,size,curved_display,refresh_rate,hbm,protection,ppi,battery,charging_speed,thickness,back_material,frame_material,weight,launch_date,camera_number,useful_camera_number,main,camera_sensor_name,ultrawide,third,third_mp,fourth,fourth_mp,rear_video,front,front_video,colors,antutu,geekbench_single,geekbench_multiple,speaker,wireless_charging,ip_rating,price
CMF Phone 1,Nothing,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,,,395,5000,33,8.2,Plastic,Plastic,202,08-07-2024,2,1,50,,,Useless,2,,,"4, 30",16,"4, 30",3,646635,1013,2949,Mono,0,52,16000
CMF Phone 2 Pro,Nothing,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,Amoled,6.77,0,120,1300,"Panda Glass, ",388,5000,33,7.8,Plastic,Plastic,185,28-05-2025,3,3,50,,8,Telephoto - 2x,50,,,"4, 30",16,"4, 30",4,704101,1013,2936,Mono,0,54,19000
Galaxy A07,Samsung,Offline,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.7,0,120,800,,262,6000,25,8.2,Plastic,Plastic,199,05-02-2026,2,1,50,,,Useless,2,,,"1, 60",8,"1, 30",2,450401,731,2012,Mono,0,54,16000
Galaxy A17,Samsung,Offline,Exynos,1330,5,LPDDR4X,UFS 2.2,Amoled,6.7,0,90,800,"Corning, GG Victus",358,5000,25,7.5,Plastic,Plastic,193,29-08-2025,3,2,50,,5,Useless,2,,,"1, 30",13,"1, 30",3,473905,942,2137,Mono,0,54,19000
Galaxy A27,Samsung,Offline,Snapdragon,6 Gen 3,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,800,"Corning, GG Victus +",385,5000,25,7.8,Glass,Plastic,200,25-06-2026,2,2,50,,5,Useless,2,,,"4, 30",12,"1, 30",3,892500,1080,3192,Mono,0,64,32000
Galaxy A36,Samsung,Offline,Snapdragon,6 Gen 3,4,LPDDR5,UFS 2.2,Amoled,6.7,0,120,1200,"Corning, GG Victus+",385,5000,45,7.4,Glass,Plastic,195,02-03-2025,3,3,50,,8,Macro,5,,,"4, 30",12,"1, 30",3,620000,1060,3070,Stereo,0,67,36500
Galaxy A37,Samsung,Offline,Exynos,1480,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,1200,"Corning, GG Victus +",385,5000,45,7.4,Glass,Plastic,196,25-03-2026,3,2,50,,8,Macro,5,,,"4, 30",12,"4, 60",4,713393,1158,3401,Stereo,0,68,42000
Galaxy A56,Samsung,Offline,Exynos,1580,4,LPDDR5,UFS 3.1,Amoled,6.7,0,120,1200,"Corning, GG Victus+",385,5000,45,7.4,Glass,Aluminium,198,02-03-2025,3,3,50,,12,Macro,5,,,"4, 30",12,"1, 30",3,908689,1380,3877,Stereo,0,67,45000
Galaxy A57,Samsung,Offline,Exynos,1680,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,1200,"Corning, GG Victus +",385,5000,45,6.9,Glass,Aluminium,179,25-03-2026,3,2,50,,12,Macro,5,,,"4, 30",12,"4, 30",4,1381157,1361,4446,Stereo,0,68,57000
Galaxy F17,Samsung,Online,Exynos,1330,5,LPDDR4X,UFS 2.2,Amoled,6.7,0,90,800,"Corning, GG Victus",385,5000,25,7.5,Plastic,Plastic,193,29-08-2025,3,2,50,,5,Useless,2,,,"1, 30",13,"1, 30",3,473905,942,2137,Mono,0,54,16000
Galaxy F36,Samsung,Online,Exynos,1380,4,LPDDR4X,UFS 2.2,Amoled,6.7,0,120,800,"Corning, GG Victus+",385,5000,25,7.7,Plastic,Plastic,197,29-07-2025,3,2,50,,8,Useless,2,,,"4, 30",13,"4, 30",3,595209,1004,2886,Mono,0,52,21000
Galaxy F56,Samsung,Online,Exynos,1480,4,LPDDR5X,UFS 3.1,Amoled,6.74,0,120,1200,"Corning, GG Victus+",382,5000,45,7.2,Glass,Aluminium,180,08-05-2025,3,2,50,,8,Useless,2,,,"4, 30",12,"1, 30",2,734661,1153,3456,Mono,0,52,28000
Galaxy F70e,Samsung,Online,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.7,0,120,800,,262,6000,25,8.2,Leather,Plastic,199,09-02-2026,2,1,50,,,Useless,2,,,"1, 60",8,"1, 30",2,450401,731,2012,Mono,0,54,14500
Galaxy M17,Samsung,Online,Exynos,1330,5,LPDDR4X,UFS 2.2,Amoled,6.7,0,90,800,"Corning, GG Victus",385,5000,25,7.5,Plastic,Plastic,193,10-10-2025,3,2,50,,5,Useless,2,,,"1, 30",13,"1, 30",3,473905,942,2137,Mono,0,54,16500
Galaxy M17e,Samsung,Online,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.7,0,120,800,,262,6000,25,8.2,Plastic,Plastic,199,17-03-2026,2,1,50,,,Useless,2,,,"1, 60",8,"1, 30",2,450401,731,2012,Mono,0,54,14000
Galaxy M35,Samsung,Online,Exynos,1380,4,LPDDR4X,UFS 2.2,Amoled,6.6,0,120,1000,"Corning, GG Victus+",390,6000,25,9.1,Plastic,Plastic,222,24-05-2024,3,2,50,,8,Useless,2,,,"4, 30",13,"1, 60",3,603573,1008,2926,Stereo,0,52,20000
Galaxy M36,Samsung,Online,Exynos,1380,4,LPDDR4X,UFS 2.2,Amoled,6.7,0,120,800,"Corning, GG Victus+",385,5000,25,7.7,Plastic,Plastic,197,27-06-2025,3,2,50,,8,Useless,2,,,"4, 30",13,"4, 30",3,595209,1004,2886,Mono,0,52,21000
Galaxy M47,Samsung,Online,Snapdragon,6 Gen 3,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,800,"Corning, GG Victus +",385,6000,45,7.8,Glass,Plastic,200,29-06-2026,2,2,50,,5,Useless,2,,,"4, 30",12,"1, 30",2,892500,1080,3192,Mono,0,64,33000
Galaxy M56,Samsung,Online,Exynos,1480,4,LPDDR5X,UFS 3.1,Amoled,6.74,0,120,1200,"Corning, GG Victus+",382,5000,45,7.2,Glass,Aluminium,180,17-04-2025,3,2,50,,8,Useless,2,,,"4, 30",12,"1, 30",2,734661,1153,3456,Mono,0,52,29000
Galaxy S24,Samsung,Flagship,Exynos,2400,3,LPDDR5X,UFS 4.0,Amoled,6.2,0,120,1400,"Corning, GG Victus 2",416,4000,25,7.6,Glass,Aluminium,168,17-01-2024,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,1696727,1944,6261,Stereo,1,68,80000
Galaxy S24 Snapdragon,Samsung,Both,Snapdragon,8 Gen 3,4,LPDDR5X,UFS 4.0,Amoled,6.2,0,120,1400,"Corning, GG Victus 2",416,4000,25,7.6,Glass,Aluminium,168,23-09-2025,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,1922733,2051,6357,Stereo,1,68,40000
Galaxy S25,Samsung,Flagship,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.0,Amoled,6.2,0,120,1400,"Corning, GG Victus 2",416,4000,25,7.2,Glass,Aluminium,162,22-01-2025,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,2342380,2769,9366,Stereo,1,68,81000
Galaxy S25 Edge,Samsung,Flagship,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.0,Amoled,6.7,0,120,1400,"Corning, GG Ceramic2",513,3900,25,5.8,Glass,Titanium,163,13-05-2025,2,2,200,Samsung HP 2,12,,,,,"4, 60",12,"4, 60",2,2147084,2223,8012,Stereo,1,68,110000
Galaxy S25 FE,Samsung,Flagship,Exynos,2400,3,LPDDR5X,UFS 4.0,Amoled,6.7,0,120,1300,"Corning, GG Victus+",385,4900,45,7.4,Glass,Aluminium,190,04-09-2025,3,3,50,,12,Telephoto - 3x,8,,,"4, 60",12,"4, 60",3,2073050,2064,6948,Stereo,1,69,60000
Galaxy S25 Ultra,Samsung,Flagship,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.0,Amoled,6.9,0,120,1400,"Corning, GG Armor 2",498,5000,45,8.2,Glass,Titanium,218,22-01-2025,4,4,200,Samsung HP 2,50,Telephoto - 5x,50,Telephoto - 3x,10,"4, 60",12,"4, 60",7,2733149,2888,9531,Stereo,1,68,130000
Galaxy S25+,Samsung,Flagship,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.0,Amoled,6.7,0,120,1400,"Corning, GG Victus 2",513,4900,45,7.3,Glass,Aluminium,190,22-01-2025,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,2528942,2876,9527,Stereo,1,68,100000
Galaxy S26,Samsung,Flagship,Exynos,2600,2,LPDDR5X,UFS 4.0,Amoled,6.3,0,120,,"Corning, GG Victus 2",411,4300,25,7.2,Glass,Aluminium,167,25-02-2026,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",6,3504102,3203,11097,Stereo,1,68,88000
Galaxy S26 Ultra,Samsung,Flagship,Snapdragon,8 Elite Gen 5,3,LPDDR5X,UFS 4.0,Amoled,6.9,0,120,,"Corning, GG Armor 2",500,5000,60,7.9,Glass,Aluminium,214,25-02-2026,4,4,200,Samsung HPA,50,Telephoto - 5x,50,Telephoto - 3x,10,"4, 60",12,"4, 60",6,3804457,3781,11566,Stereo,1,68,140000
Galaxy S26+,Samsung,Flagship,Exynos,2600,2,LPDDR5X,UFS 4.0,Amoled,6.7,0,120,,"Corning, GG Victus 2",516,4900,45,7.3,Glass,Aluminium,190,25-02-2026,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",6,3115908,3240,11297,Stereo,1,68,120000
Infinix GT 30,Infinix,Both,Mediatek,Dimensity 7400,4,LPDDR5X,UFS 2.2,Amoled,6.78,0,144,1600,"Corning, GG 7i",440,5500,45,8,Plastic,Plastic,187,08-08-2025,2,2,64,Sony IMX 682,8,,,,,"4, 30",13,"4, 30",3,714721,1079,3082,Stereo,0,64,19500
Infinix GT 30 Pro,Infinix,Both,Mediatek,Dimensity 8350,4,LPDDR5X,UFS 4.0,Amoled,6.78,0,144,1600,"Corning, GG 7i",440,5500,45,8,Plastic,Plastic,191,03-06-2025,2,2,108,,8,,,,,"4, 60",13,"4, 30",2,1424402,1204,4057,Stereo,1,64,25000
Infinix Note 50s ,Infinix,Both,Mediatek,Dimensity 7300,4,LPDDR5X,UFS 2.2,Amoled,6.78,1,144,,"Corning, GG 5",393,5500,45,7.6,Leather,Plastic,180,18-04-2025,2,1,64,Sony IMX 682,,Useless,2,,,"4, 30",13,"4, 30",3,675376,998,3167,Stereo,0,52,16000
Infinix Note 60 Pro,Infinix,Online,Snapdragon,7s Gen 4,4,LPDDR5,UFS 2.2,Amoled,6.78,0,144,1600,"Corning, GG 7i",429,6500,90,7.4,Plastic,Aluminium,202,13-04-2026,2,2,50,,8,,,,,"4, 30",13,"4, 30",3,955619,1240,3388,Stereo,1,64,32000
Infinix Note Edge,Infinix,Both,Mediatek,Dimensity 7100,6,LPDDR5X,UFS 2.2,Amoled,6.78,1,120,1600,"Corning, GG 7i",429,6500,45,7.2,Plastic,Plastic,188,18-02-2026,2,1,50,,,Useless,2,,,"2, 30",13,"2, 30",3,719969,976,2815,Stereo,0,65,22000
iPhone 15,Apple,Flagship,Apple Bionic,A16,4,LPDDR5,NVMe,Amoled,6.1,0,60,1000,"Ceramic Shield Glass, ",461,3349,20,7.8,Glass,Aluminium,171,12-09-2023,2,2,48,Sony Customised,12,,,,,"4, 60",12,"4, 60",5,1354651,2544,6526,Stereo,1,68,80000
iPhone 15 Plus,Apple,Flagship,Apple Bionic,A16,4,LPDDR5,NVMe,Amoled,6.7,0,60,1000,"Ceramic Shield Glass, ",460,4383,20,7.8,Glass,Aluminium,201,12-09-2023,2,2,48,Sony Customised,12,,,,,"4, 60",12,"4, 60",5,1385649,2546,6618,Stereo,1,68,90000
iPhone 15 Pro,Apple,Flagship,Apple Bionic,A17 Pro,3,LPDDR5,NVMe,Amoled,6.1,0,120,2000,"Ceramic Shield Glass, ",461,3274,20,8.3,Glass,Titanium,187,12-09-2023,3,3,48,Sony Customised,12,Telephoto - 3x,12,,,"4, 60",12,"4, 60",4,1641883,2893,7181,Stereo,1,68,135000
iPhone 15 Pro Max,Apple,Flagship,Apple Bionic,A17 Pro,3,LPDDR5,NVMe,Amoled,6.7,0,120,2000,"Ceramic Shield Glass, ",460,4441,20,8.3,Glass,Titanium,221,12-09-2023,3,3,48,Sony Customised,12,Telephoto - 5x,12,,,"4, 60",12,"4, 60",4,1487203,2882,7143,Stereo,1,68,160000
iPhone 16,Apple,Flagship,Apple Bionic,A18,3,LPDDR5,NVMe,Amoled,6.1,0,60,1000,"Ceramic Shield Glass, ",460,3561,30,7.8,Glass,Aluminium,170,20-09-2024,2,2,48,,12,,,,,"4, 60",12,"4, 60",5,1721149,3324,8284,Stereo,0,68,80000
iPhone 16 Pro ,Apple,Flagship,Apple Bionic,A18 Pro,3,LPDDR5,NVMe,Amoled,6.3,0,120,2000,"Ceramic Shield Glass, ",460,3582,30,8.3,Glass,Titanium,199,21-09-2024,3,3,48,Sony Customised,48,Telephoto - 5x,12,,,"4, 60",12,"4, 60",4,1871052,3324,8508,Stereo,1,68,144900
iPhone 16 Pro Max,Apple,Flagship,Apple Bionic,A18 Pro,3,LPDDR5,NVMe,Amoled,6.9,0,120,2000,"Ceramic Shield Glass, ",460,4685,30,8.3,Glass,Titanium,227,20-09-2024,3,3,48,Sony Customised,48,Telephoto - 5x,12,,,"4, 60",12,"4, 60",4,1838828,3438,8573,Stereo,1,68,119900
iPhone 16+,Apple,Flagship,Apple Bionic,A18,3,LPDDR5,NVMe,Amoled,6.7,0,60,1000,"Ceramic Shield Glass, ",460,4674,30,7.8,Glass,Aluminium,199,19-09-2024,2,2,48,,12,,,,,"4, 60",12,"4, 60",5,1721149,3322,8188,Stereo,1,68,90000
iPhone 16e,Apple,Flagship,Apple Bionic,A18,3,LPDDR5,NVMe,Amoled,6.1,0,60,800,"Ceramic Shield Glass, ",457,4005,30,7.8,Glass,Aluminium,167,19-02-2025,1,1,48,,,,,,,"4, 60",12,"4, 60",2,1401115,2706,7942,Stereo,1,68,60000
iPhone 17,Apple,Flagship,Apple Bionic,A19,3,LPDDR5X,NVMe,Amoled,6.3,0,120,1600,"Ceramic Shield Glass, ",460,3692,40,8,Glass,Aluminium,177,09-09-2025,2,2,48,,48,,,,,"4, 60",18,"4, 60",5,2221350,3608,9246,Stereo,1,68,83000
iPhone 17 Pro,Apple,Flagship,Apple Bionic,A19 Pro,3,LPDDR5X,NVMe,Amoled,6.3,0,120,1600,"Ceramic Shield Glass, ",460,3988,40,8.8,Glass,Aluminium,204,09-09-2025,3,3,48,,48,Telephoto - 4x,48,,,"4, 60",18,"4, 60",3,2446434,3895,9820,Stereo,1,68,135000
iPhone 17 Pro Max,Apple,Flagship,Apple Bionic,A19 Pro,3,LPDDR5X,NVMe,Amoled,6.9,0,120,1600,"Ceramic Shield Glass, ",460,4823,40,8.8,Glass,Aluminium,231,09-09-2025,3,3,48,,48,Telephoto - 4x,48,,,"4, 60",18,"4, 60",3,2509041,3784,9734,Stereo,1,68,150000
iPhone 17e,Apple,Flagship,Apple Bionic,A19,3,LPDDR5,NVMe,Amoled,6.1,0,60,800,"Ceramic Shield Glass, ",457,4005,30,7.8,Glass,Aluminium,170,02-03-2026,1,1,48,,,,,,,"4, 60",12,"4, 60",3,1951083,3610,9207,Stereo,1,68,65000
iPhone Air,Apple,Flagship,Apple Bionic,A19 Pro,3,LPDDR5X,NVMe,Amoled,6.5,0,120,1600,"Ceramic Shield Glass, ",460,3036,20,5.6,Glass,Titanium,165,09-09-2025,1,1,48,,,,,,,"4, 60",18,"4, 60",4,2033624,3674,8824,Mono,1,68,120000
Iqoo 12,IQOO,Online,Snapdragon,8 Gen 3,4,LPDDR5X,UFS 4.0,Amoled,6.78,0,144,1400,"Schott Xensarion, ",453,5000,120,8.4,Glass,Aluminium,204,12-12-2023,3,3,50,Omnivision OV50H,50,Telephoto - 3x,64,,,"4, 60",16,"1, 30",3,2107464,2191,6953,Stereo,0,64,53000
Iqoo 13,IQOO,Online,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.1,Amoled,6.82,0,144,1800,"Schott Xensation, Alpha",510,6000,120,8,Glass,Aluminium,216,03-12-2024,3,3,50,Sony IMX 921,50,Telephoto - 2x,,,,"4, 60",32,"4, 60",3,2791585,3142,9522,Stereo,0,69,55000
Iqoo 15,IQOO,Online,Snapdragon,8 Elite Gen 5,3,LPDDR5X,UFS 4.1,Amoled,6.85,0,144,3600,"Schott Xensation, Alpha",508,7000,100,8.1,Glass,Aluminium,220,26-11-2025,3,3,50,Sony IMX 921,50,Telephoto - 3x,50,,,"4, 60",32,"4, 60",2,3922704,3550,10509,Stereo,1,69,77000
Iqoo 15R,IQOO,Online,Snapdragon,8 Gen 5,3,LPDDR5X,UFS 4.1,Amoled,6.59,0,144,1800,"Schott Xensation, Alpha",459,7600,100,8.1,Glass,Aluminium,202,24-02-2026,2,2,50,Sony LYT 700,8,,,,,"4, 60",32,"4, 30",2,3137421,2590,8423,Stereo,0,69,50000
Iqoo Neo 10,IQOO,Online,Snapdragon,8s Gen 4,4,LPDDR5X,UFS 4.0,Amoled,6.78,0,144,2000,"Schott Xensation, ",453,7000,120,8.1,Plastic,Plastic,207,26-05-2025,2,2,50,Sony IMX 882,8,,,,,"4, 60",32,"4, 60",3,2126431,2093,6836,Stereo,0,65,42000
Iqoo Neo 10R,IQOO,Online,Snapdragon,8s Gen 3,4,LPDDR5X,UFS 4.1,Amoled,6.78,0,144,1200,"Schott Xensation, ",452,6400,80,8,Plastic,Plastic,196,11-03-2025,2,2,50,Sony IMX 882,8,,,,,"4, 30",32,"4, 30",2,1540721,1971,5139,Stereo,0,65,27000
Iqoo Neo 9 Pro,IQOO,Online,Snapdragon,8 Gen 2,4,LPDDR5X,UFS 4.0,Amoled,6.78,0,144,1400,"Schott Xensation,",453,5160,120,8,Glass,Plastic,196,22-02-2024,2,2,50,Sony IMX 920,8,,,,,"4, 60",16,"1, 30",2,1611015,2023,5564,Stereo,0,54,36000
Iqoo Z10,IQOO,Online,Snapdragon,7s Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1300,"Schott Xensation, ",388,7300,90,7.89,Plastic,Plastic,199,11-04-2025,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",32,"4, 30",2,817797,1168,3223,Mono,0,65,25000
Iqoo Z10 Lite,IQOO,Online,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.74,0,90,1000,,260,6000,15,8.1,Plastic,Plastic,205,18-06-2025,2,1,50,Sony,,Useless,2,,,"1, 30",5,"1, 30",2,436326,789,2024,Mono,0,64,10000
Iqoo Z10R,IQOO,Online,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 2.2,Amoled,6.77,1,120,1300,"Schott Xensation,",387,5700,45,7.4,Plastic,Plastic,184,24-07-2025,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",32,"4, 30",2,703123,1033,2989,Stereo,0,69,23000
Iqoo Z10x,IQOO,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 3.1,IPS LCD,6.72,0,120,1050,"Panda Glass, ",393,6500,44,8.1,Plastic,Plastic,204,11-04-2024,2,1,50,Sony IMX 882,,Useless,2,,,"4, 30",8,"1, 30",2,696062,1024,2933,Stereo,0,64,17000
Iqoo Z11x,IQOO,Online,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 3.1,IPS LCD,6.76,0,120,1200,Titan Glass,382,7200,44,8.4,Plastic,Plastic,219,12-03-2026,2,1,50,Sony IMX 852,,Useless,2,,,"4, 30",32,"4, 30",2,951584,1057,2704,Stereo,0,69,23000
Lava Agni 4,Lava,Online,Mediatek,Dimensity 8350,4,LPDDR5X,UFS 4.0,Amoled,6.67,0,120,,"Corning, GG",446,5000,66,8.6,Glass,Aluminium,208,20-11-2025,2,2,50,Omnivision OV50E40,8,,,,,"4, 60",50,"4, 60",2,1330562,1307,4107,Stereo,0,64,30000
Lava Blaze Amoled 2,Lava,Online,Mediatek,Dimensity 7060,6,LPDDR5,UFS 3.1,Amoled,6.67,0,120,800,,394,5000,33,7.55,Plastic,Plastic,177,11-08-2025,2,1,50,Sony IMX 752,,Useless,2,,,"2, 30",8,"1, 30",2,504235,1062,2533,Stereo,0,64,13500
Lava Blaze Dragon,Lava,Online,Snapdragon,4 Gen 2,4,LPDDR4X,UFS 3.1,IPS LCD,6.75,0,120,660,,260,5000,18,9.1,Plastic,Plastic,210,25-07-2025,2,1,50,,,Useless,2,,,"1, 30",8,"1, 30",2,431191,914,2068,Mono,0,64,10000
Lava Bold 2,Lava,Online,Mediatek,Dimensity 7060,6,LPDDR5,UFS 3.1,Amoled,6.67,0,120,800,,394,5000,33,7.55,Plastic,Plastic,177,13-03-2026,2,1,50,Sony IMX 752,,Useless,2,,,"2, 30",8,"1, 30",2,504235,1062,2533,Stereo,0,64,15500
Lava Bold N2,Lava,Both,Unisoc,T8200,6,LPDDR4X,UFS 2.2,IPS LCD,6.75,0,120,,,260,6000,18,8.75,Plastic,Plastic,210,03-06-2026,1,1,13,,,,,,,"1, 30",5,"1, 30",2,515768,725,1950,Mono,0,64,13000
Lava Play Ultra,Lava,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 3.1,Amoled,6.67,0,120,900,,395,5000,33,7.8,Plastic,Plastic,182,21-08-2025,2,2,64,Sony IMX 682,,Macro,5,,,"4, 60",13,"1, 30",2,668042,1010,3012,Stereo,0,64,14000
Lava Shark 2,Lava,Both,Unisoc,T8200,6,LPDDR4X,UFS 2.2,IPS LCD,6.75,0,120,600,,262,6000,18,8.8,Plastic,Plastic,210,26-05-2026,1,1,13,,,,,,,"1, 30",5,"1, 30",2,500000,725,2025,Mono,0,64,12000
Lava Storm Lite,Lava,Online,Mediatek,Dimensity 6400,6,LPDDR4X,UFS 2.2,IPS LCD,6.75,0,120,450,,260,5000,18,9.1,Plastic,Plastic,210,25-07-2025,2,1,50,Sony IMX 752,,Useless,2,,,"2, 30",5,"1, 30",2,445000,806,1989,Mono,0,64,9000
Lava Storm Play,Lava,Online,Mediatek,Dimensity 6300,6,LPDDR5,UFS 3.1,IPS LCD,6.75,0,120,750,"Panda Glass, ",260,5000,18,8.3,Plastic,Plastic,196,26-06-2025,2,1,50,Sony IMX 752,,Useless,2,,,"2, 30",8,"1, 30",2,532020,1056,2464,Mono,0,64,10500
Moto Edge 50,Motorola,Both,Snapdragon,7 Gen 1,4,LPDDR4X,UFS 2.2,Amoled,6.7,1,120,1600,,446,5000,68,7.8,Leather,Aluminium,180,01-08-2024,3,3,50,Sony LYT 700,13,Telephoto - 3x,10,,,"4, 30",32,"4, 30",3,699501,1056,2904,Stereo,1,68,28000
Moto Edge 50 Fusion,Motorola,Both,Snapdragon,7s Gen 2,4,LPDDR4X,UFS 2.2,Amoled,6.7,1,120,1300,"Corning, GG 7i",393,5000,68,7.9,Leather,Plastic,175,16-05-2024,2,2,50,Sony LYT 700,13,,,,,"4, 30",32,"4, 30",3,611028,913,2629,Stereo,0,68,23000
Moto Edge 50 Neo,Motorola,Both,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,Amoled,6.4,0,120,1500,"Corning, GG 3",460,4310,68,8.1,Leather,Plastic,171,16-09-2024,3,3,50,Sony LYT 700,13,Telephoto - 3x,10,,,"4, 30",32,"4, 30",3,696931,1111,2959,Stereo,1,68,24000
Moto Edge 50 Pro,Motorola,Both,Snapdragon,7 Gen 3,4,LPDDR4X,UFS 2.2,Amoled,6.7,1,144,1500,"Corning, GG",446,4500,125,8.2,Leather,Aluminium,187,03-04-2024,3,3,50,,13,Telephoto - 3x,10,,,"4, 30",50,"1, 60",5,846105,1125,3080,Stereo,1,68,32000
Moto Edge 50 Ultra,Motorola,Both,Snapdragon,8s Gen 3,4,LPDDR5X,UFS 4.0,Amoled,6.7,0,144,1500,"Corning, GG Victus",446,4500,125,8.6,Leather,Aluminium,197,18-06-2024,3,3,50,Omnivision OV50H,50,Telephoto - 3x,64,,,"4, 60",50,"4, 60",3,1525409,1947,5149,Stereo,1,68,60000
Moto Edge 60,Motorola,Both,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 2.2,Amoled,6.67,1,120,1500,"Corning, GG 7i",446,5500,68,8.3,Leather,Plastic,181,10-06-2025,3,3,50,Sony LYT 700,13,Telephoto - 3x,50,,,"4, 30",32,"1, 30",3,700000,1050,3050,Stereo,0,69,26000
Moto Edge 60 Fusion,Motorola,Both,Mediatek,Dimensity 7400,4,LPDDR4X,UFS 2.2,Amoled,6.67,1,120,1500,"Corning, GG 7i",446,5500,68,8.3,Leather,Plastic,180,01-04-2025,2,2,50,Sony LYT 700,13,,,,,"4, 30",32,"1, 30",3,700000,1050,3050,Stereo,0,69,23000
Moto Edge 60 Pro,Motorola,Both,Mediatek,Dimensity 8350,4,LPDDR5X,UFS 4.0,Amoled,6.7,1,120,1400,"Corning, GG 7i",444,6000,90,8.24,Leather,Plastic,186,29-05-2025,3,3,50,Sony LYT 700,50,Telephoto - 3x,10,,,"4, 30",50,"4, 30",3,1388622,1343,4332,Stereo,1,69,30000
Moto Edge 60 Stylus,Motorola,Both,Snapdragon,7s Gen 2,4,LPDDR4X,UFS 2.2,Amoled,6.7,0,120,1400,"Corning, GG 3",444,5000,68,8.3,Leather,Plastic,191,15-04-2025,2,2,50,Sony LYT 700,13,,,,,"4, 30",32,"1, 60",2,627527,1021,2915,Stereo,1,68,23000
Moto Edge 70,Motorola,Both,Snapdragon,7 Gen 4,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,1600,"Corning, GG 7i",446,4800,68,6,Plastic,Aluminium,159,15-12-2025,2,2,50,,50,,,,,"4, 60",50,"4, 60",3,1125461,1324,4185,Stereo,1,69,33000
Moto Edge 70 Fusion,Motorola,Both,Snapdragon,7s Gen 4,4,LPDDR5X,UFS 3.1,Amoled,6.78,1,144,1600,"Corning, GG 7i",450,7000,68,7.9,Plastic,Plastic,193,06-03-2026,2,2,50,Sony LYT 710,13,,,,,"4, 30",32,"4, 30",3,1132967,1215,3186,Stereo,0,69,27000
Moto Edge 70 Pro,Motorola,Both,Mediatek,Dimensity 8500,4,LPDDR5X,UFS 4.1,Amoled,6.8,1,144,1800,,449,6500,90,7.2,Plastic,Plastic,190,22-04-2026,2,2,50,Sony LYT 710,50,,,,,"4, 60",50,"4, 60",3,2173245,1727,6563,Stereo,0,69,39000
Moto Edge 70 Pro+,Motorola,Both,Mediatek,Dimensity 8500,4,LPDDR5X,UFS 4.1,Amoled,6.8,1,144,1800,"Corning, GG 7i",449,6500,90,7.2,Plastic,Plastic,190,04-06-2026,3,3,50,Sony LYT 710,50,Telephoto - 3x,50,,,"4, 60",50,"4, 60",3,2173245,1727,6563,Stereo,1,69,48000
Moto G34,Motorola,Online,Snapdragon,695,6,LPDDR4X,UFS 2.2,IPS LCD,6.5,0,120,600,"Corning, GG 3",270,5000,20,8,Plastic,Plastic,183,05-01-2024,2,1,50,,,Useless,2,,,"1, 30",16,"1, 30",3,480000,945,2000,Stereo,0,52,11000
Moto G35,Motorola,Online,Unisoc,T760,6,LPDDR4X,UFS 2.2,IPS LCD,6.72,0,120,1000,"Corning, GG 3",392,5000,18,7.8,Plastic,Plastic,191,10-12-2024,2,2,50,,8,,,,,"4, 30",16,"1, 30",3,483000,746,2240,Stereo,0,52,12500
